Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
38,1979 - Remastered 2012,The Smashing Pumpkins,alternative metal,1995,127,79,77,-10,5,96,266,2,3,79
39,Fantasy,Mariah Carey,dance pop,1995,102,73,67,-8,12,81,243,14,4,79
40,Black Hole Sun,Soundgarden,alternative metal,1994,105,83,35,-5,8,15,319,0,4,79
41,Friday I'm In Love,The Cure,new wave,1992,136,76,53,-13,36,51,215,0,3,79
42,When I Come Around,Green Day,modern rock,1994,98,91,53,-4,23,81,178,2,3,79
43,Better Off Alone,Alice Deejay,bouncy house,2000,137,88,67,-6,28,79,215,0,6,79
44,Doo Wop (That Thing),Ms. Lauryn Hill,alternative r&b,1998,100,51,54,-9,9,50,320,4,25,78
45,Karma Police,Radiohead,alternative rock,1997,75,50,36,-9,17,32,264,6,3,78
46,High and Dry,Radiohead,alternative rock,1995,88,38,42,-12,9,35,257,7,3,78
47,The Man Who Sold The World,Nirvana,grunge,1994,115,75,48,-9,26,42,261,43,8,78
48,My Hero,Foo Fighters,alternative metal,1997,77,93,40,-4,6,31,260,0,6,78
49,You Get What You Give,New Radicals,pop rock,1998,114,90,62,-5,9,74,301,17,3,78
50,No Rain,Blind Melon,alternative metal,1992,148,48,39,-9,26,57,217,62,3,78
51,Alive,Pearl Jam,alternative metal,1991,75,88,28,-6,40,60,341,1,4,78
52,Push,Matchbox Twenty,neo mellow,1996,168,67,42,-8,11,48,239,1,3,78
53,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,east coast hip hop,1997,105,88,85,-5,20,90,257,1,8,77
54,Return of the Mack,Mark Morrison,british soul,1996,95,83,72,-5,16,61,213,1,11,77
55,My Name Is,Eminem,detroit hip hop,1999,86,68,87,-6,9,82,268,4,32,77
56,Regulate,Warren G,g funk,1994,95,52,85,-13,12,76,249,30,22,77
57,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,alternative metal,1995,122,72,40,-9,5,48,258,0,6,77
58,Changes,2Pac,g funk,1998,111,67,87,-6,22,33,269,5,7,77
59,Waterfalls,TLC,atl hip hop,1994,172,51,77,-7,8,76,280,31,8,77
60,Semi-Charmed Life,Third Eye Blind,alternative metal,1997,102,86,64,-7,12,70,268,1,3,77
61,Fly Away,Lenny Kravitz,permanent wave,1998,160,87,59,-5,62,74,221,2,5,77
62,Buddy Holly,Weezer,alternative rock,1994,121,92,56,-5,12,77,159,0,4,76
63,Alright,Supergrass,alternative rock,1995,146,96,47,-5,30,70,181,0,8,76
64,Insane in the Brain,Cypress Hill,chicano rap,1993,102,61,90,-10,9,77,208,3,21,76
65,I Got 5 On It,Luniz,g funk,1995,174,71,60,-8,13,58,254,21,36,76
66,It Ain't Over 'Til It's Over,Lenny Kravitz,permanent wave,1991,160,57,68,-11,32,93,243,42,4,76
67,Thank You,Dido,dance pop,1999,80,58,73,-10,7,76,218,30,4,76
68,Kiss from a Rose,Seal,british soul,1994,132,53,58,-7,31,22,288,68,3,76
69,Give It Away,Red Hot Chili Peppers,alternative rock,1991,92,94,67,-10,15,78,283,0,5,76
70,Closing Time,Semisonic,pop rock,2003,92,85,48,-5,12,27,274,2,3,76
71,Jump Around - 30 Years Remaster,House Of Pain,gangster rap,2022,107,82,81,-6,16,83,219,6,4,76
72,Lithium,Nirvana,grunge,1991,123,66,68,-6,6,49,257,0,4,75
73,Ready or Not,Fugees,east coast hip hop,1996,130,42,61,-13,8,56,227,21,50,75
74,The Boy Is Mine,Brandy,contemporary r&b,1998,93,71,70,-7,32,76,295,54,4,75
75,Just A Girl,No Doubt,dance pop,1995,108,91,64,-5,14,77,209,7,5,75
76,Don't Look Back in Anger - Remastered,Oasis,beatlesque,1995,163,94,33,-3,15,33,290,7,6,75
77,Around the World,Daft Punk,electro,1997,121,80,96,-5,9,84,430,0,15,75
78,Miami,Will Smith,hip hop,1997,108,53,88,-6,4,89,198,3,15,75
79,Gettin' Jiggy Wit It,Will Smith,hip hop,1997,108,87,88,-5,15,86,228,2,14,75
80,Enjoy the Silence,Depeche Mode,dance rock,1998,113,84,66,-6,8,75,255,20,3,75
81,Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,75
82,Butterfly,Crazy Town,alternative metal,1999,104,81,74,-4,11,61,217,0,8,75
83,I Try,Macy Gray,neo soul,1999,76,64,59,-7,8,74,239,31,3,75
84,3AM,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,75
85,All I Wanna Do,Sheryl Crow,lilith,1993,120,53,82,-11,26,93,272,11,3,74
86,Can I Kick It?,A Tribe Called Quest,conscious hip hop,1990,97,67,85,-7,13,74,252,17,27,74
87,Loser,Beck,alternative rock,1994,85,61,65,-10,41,79,235,3,12,74
